IR,RED
64865.0,68327.0
64870.0,68303.0
64856.0,68330.0
64852.0,68347.0
64853.0,68375.0
64850.0,68370.0
64836.0,68350.0
64848.0,68351.0
64902.0,68335.0
64858.0,68365.0
64881.0,68375.0
64862.0,68362.0
64852.0,68348.0
64836.0,68353.0
64891.0,68343.0
64884.0,68351.0
64886.0,68403.0
64867.0,68381.0
64869.0,68384.0
64865.0,68383.0
64892.0,68379.0
64911.0,68359.0
64886.0,68378.0
64875.0,68415.0
64871.0,68391.0
64861.0,68379.0
64858.0,68386.0
64899.0,68360.0
64887.0,68378.0
64896.0,68392.0
64879.0,68398.0
64863.0,68415.0
64884.0,68384.0
64873.0,68389.0
64915.0,68365.0
64912.0,68388.0
64888.0,68437.0
64888.0,68431.0
64884.0,68424.0
64863.0,68389.0
64911.0,68371.0
64913.0,68361.0
64920.0,68359.0
64880.0,68405.0
64906.0,68400.0
64887.0,68405.0
64887.0,68425.0
64891.0,68403.0
64897.0,68411.0
64912.0,68381.0
64898.0,68415.0
64900.0,68451.0
64899.0,68434.0
64901.0,68438.0
64883.0,68435.0
64921.0,68415.0
64923.0,68425.0
64910.0,68449.0
64901.0,68448.0
64880.0,68453.0
64920.0,68438.0
64933.0,68435.0
64945.0,68428.0
64917.0,68435.0
64904.0,68455.0
64906.0,68470.0
64875.0,68445.0
64902.0,68445.0
64924.0,68453.0
64941.0,68441.0
64964.0,68442.0
64913.0,68445.0
64921.0,68457.0
64911.0,68470.0
64914.0,68479.0
64901.0,68458.0
64897.0,68453.0
64929.0,68457.0
64936.0,68456.0
64920.0,68443.0
64920.0,68491.0
64922.0,68478.0
64924.0,68469.0
64905.0,68453.0
64915.0,68477.0
64928.0,68459.0
64952.0,68440.0
64924.0,68443.0
64913.0,68464.0
64927.0,68496.0
64936.0,68487.0
64918.0,68486.0
64898.0,68457.0
64950.0,68467.0
64933.0,68476.0
64951.0,68495.0
64918.0,68505.0
64923.0,68495.0
64926.0,68503.0
64906.0,68497.0
64944.0,68513.0
64955.0,68494.0
64981.0,68516.0
64942.0,68562.0
64950.0,68551.0
64933.0,68547.0
64924.0,68546.0
64980.0,68546.0
65003.0,68532.0
64951.0,68550.0
64976.0,68595.0
64959.0,68595.0
64974.0,68591.0
64978.0,68576.0
65000.0,68568.0
64999.0,68565.0
64976.0,68593.0
64995.0,68609.0
64968.0,68600.0
64971.0,68599.0
64972.0,68594.0
64975.0,68594.0
65018.0,68594.0
64996.0,68590.0
65001.0,68626.0
64976.0,68619.0
64993.0,68616.0
64977.0,68610.0
64985.0,68593.0
64969.0,68595.0
64977.0,68590.0
65008.0,68556.0
64982.0,68573.0
64965.0,68604.0
64975.0,68578.0
64950.0,68574.0
64962.0,68548.0
64983.0,68544.0
64971.0,68506.0
64970.0,68510.0
64969.0,68532.0
64948.0,68538.0
64938.0,68501.0
64938.0,68491.0
64924.0,68495.0
64913.0,68473.0
64960.0,68440.0
64921.0,68422.0
64933.0,68457.0
64909.0,68431.0
64903.0,68414.0
64888.0,68420.0
64899.0,68404.0
64908.0,68360.0
64889.0,68403.0
64878.0,68399.0
64870.0,68367.0
64837.0,68337.0
64875.0,68319.0
64875.0,68302.0
64854.0,68325.0
64852.0,68317.0
64837.0,68305.0
64841.0,68303.0
64816.0,68278.0
64844.0,68226.0
64854.0,68214.0
64851.0,68266.0
64831.0,68243.0
64810.0,68234.0
64802.0,68228.0
64796.0,68180.0
64848.0,68159.0
64827.0,68186.0
64816.0,68206.0
64805.0,68203.0
64801.0,68180.0
64782.0,68166.0
64784.0,68142.0
64800.0,68149.0
64805.0,68167.0
64785.0,68172.0
64789.0,68147.0
64773.0,68154.0
64785.0,68133.0
64802.0,68135.0
64815.0,68126.0
64809.0,68135.0
64800.0,68156.0
64793.0,68135.0
64783.0,68140.0
64817.0,68128.0
64822.0,68114.0
64819.0,68120.0
64776.0,68181.0
64781.0,68136.0
64775.0,68147.0
64774.0,68143.0
64797.0,68137.0
64828.0,68136.0
64826.0,68130.0
64806.0,68151.0
64796.0,68162.0
64785.0,68176.0
64799.0,68141.0
64788.0,68124.0
64805.0,68120.0
64827.0,68125.0
64822.0,68147.0
64824.0,68160.0
64814.0,68171.0
64796.0,68161.0
64792.0,68158.0
64780.0,68154.0
64798.0,68154.0
64820.0,68136.0
64828.0,68133.0
64813.0,68178.0
64816.0,68156.0
64811.0,68163.0
64807.0,68157.0
64803.0,68137.0
64816.0,68145.0
64814.0,68156.0
64814.0,68169.0
64814.0,68160.0
64788.0,68173.0
64783.0,68162.0
64815.0,68182.0
64822.0,68142.0
64815.0,68177.0
64820.0,68196.0
64826.0,68156.0
64810.0,68177.0
64806.0,68170.0
64831.0,68185.0
64843.0,68174.0
64827.0,68166.0
64833.0,68238.0
64816.0,68217.0
64823.0,68188.0
64809.0,68216.0
64806.0,68209.0
64812.0,68191.0
64841.0,68182.0
64828.0,68212.0
64859.0,68199.0
64818.0,68214.0
64823.0,68229.0
64819.0,68240.0
64797.0,68197.0
64840.0,68196.0
64836.0,68190.0
64832.0,68192.0
64823.0,68227.0
64821.0,68231.0
64816.0,68227.0
64819.0,68193.0
64819.0,68193.0
64998.0,68342.0
64979.0,68332.0
64971.0,68385.0
64978.0,68364.0
64961.0,68367.0
64985.0,68362.0
64969.0,68338.0
64969.0,68338.0
64978.0,68342.0
64998.0,68342.0
64979.0,68332.0
64971.0,68385.0
64978.0,68364.0
64961.0,68367.0
64985.0,68362.0
64969.0,68338.0
64952.0,68360.0
65012.0,68328.0
65000.0,68332.0
64999.0,68372.0
64972.0,68392.0
64961.0,68366.0
64964.0,68359.0
64952.0,68351.0
64953.0,68341.0
64972.0,68340.0
64997.0,68299.0
64960.0,68334.0
64946.0,68355.0
64949.0,68309.0
64928.0,68315.0
64926.0,68280.0
64929.0,68296.0
64961.0,68253.0
64945.0,68262.0
64937.0,68264.0
64901.0,68248.0
64918.0,68234.0
64892.0,68231.0
64888.0,68214.0
64869.0,68197.0
64872.0,68164.0
64901.0,68134.0
64899.0,68163.0
64876.0,68146.0
64869.0,68119.0
64830.0,68118.0
64844.0,68082.0
64830.0,68059.0
64886.0,68039.0
64843.0,68010.0
64832.0,68021.0
64827.0,68034.0
64788.0,68002.0
64805.0,67995.0
64785.0,67976.0
64791.0,67958.0
64783.0,67930.0
64818.0,67910.0
64787.0,67898.0
64797.0,67911.0
64775.0,67908.0
64764.0,67907.0
64775.0,67888.0
64739.0,67864.0
64783.0,67860.0
64782.0,67841.0
64775.0,67863.0
64761.0,67863.0
64753.0,67871.0
64741.0,67854.0
64743.0,67853.0
64730.0,67834.0
64746.0,67822.0
64763.0,67821.0
64767.0,67826.0
64765.0,67838.0
64752.0,67845.0
64743.0,67855.0
64757.0,67842.0
64748.0,67829.0
64764.0,67836.0
64760.0,67830.0
64797.0,67816.0
64754.0,67823.0
64763.0,67859.0
64767.0,67864.0
64740.0,67841.0
64739.0,67844.0
